n_ptcl,time,
10000,6.043911e-01,
index,pos[0],pos[1],pos[2],vel[0],vel[1],vel[2],force[0],force[1],force[2],dens,pres,eng,eng_dot,mass,
0,-0.985,-0.985,0,6.26677e-11,6.53306e-11,0,5.92271e-12,6.18772e-12,0,0.743195,0.297278,1,0,0.0009,
1,-0.985,-0.955,0,1.73541e-10,1.68143e-10,0,1.57822e-11,1.53315e-11,0,0.989384,0.395754,1,0,0.0009,
2,-0.985,-0.925,0,4.63524e-10,4.27657e-10,0,4.07724e-11,3.77115e-11,0,1.00014,0.400055,1,0,0.0009,
3,-0.985,-0.895,0,1.15135e-09,1.01628e-09,0,9.81253e-11,8.68684e-11,0,1.00021,0.400083,1,0,0.0009,
4,-0.985,-0.865,0,2.67231e-09,2.25735e-09,0,2.21035e-10,1.8737e-10,0,1.00021,0.400083,1,0,0.0009,
5,-0.985,-0.835,0,5.81937e-09,4.70135e-09,0,4.67934e-10,3.7962e-10,0,1.00021,0.400083,1,0,0.0009,
6,-0.985,-0.805,0,1.1936e-08,9.21533e-09,0,9.34576e-10,7.2509e-10,0,1.00021,0.400083,1,0,0.0009,
7,-0.985,-0.775,0,2.3149e-08,1.70664e-08,0,1.76773e-09,1.31061e-09,0,1.00021,0.400083,1,0,0.0009,
8,-0.985,-0.745,0,4.26191e-08,2.99782e-08,0,3.1787e-09,2.25029e-09,0,1.00021,0.400083,1,0,0.0009,
9,-0.985,-0.715,0,7.47772e-08,5.01408e-08,0,5.45459e-09,3.68409e-09,0,1.00021,0.400083,1,0,0.0009,
10,-0.985,-0.685,0,1.25511e-07,8.01591e-08,0,8.9652e-09,5.77231e-09,0,1.00021,0.400083,1,0,0.0009,
11,-0.985,-0.655,0,2.02275e-07,1.2294e-07,0,1.41641e-08,8.68659e-09,0,1.00021,0.400083,1,0,0.0009,
12,-0.985,-0.625,0,3.14098e-07,1.81525e-07,0,2.15835e-08,1.25982e-08,0,1.00021,0.400083,1,0,0.0009,
13,-0.985,-0.595,0,4.71491e-07,2.5889e-07,0,3.1823e-08,1.76653e-08,0,1.00021,0.400083,1,0,0.0009,
14,-0.985,-0.565,0,6.86245e-07,3.57728e-07,0,4.55329e-08,2.40201e-08,0,1.00021,0.400083,1,0,0.0009,
15,-0.985,-0.535,0,9.71135e-07,4.80231e-07,0,6.33936e-08,3.17576e-08,0,1.00021,0.400083,1,0,0.0009,
16,-0.985,-0.505,0,1.33954e-06,6.27888e-07,0,8.60921e-08,4.09262e-08,0,1.00021,0.400082,1,0,0.0009,
17,-0.985,-0.475,0,1.80497e-06,8.01311e-07,0,1.14296e-07,5.152e-08,0,1.00021,0.400082,1,0,0.0009,
18,-0.985,-0.445,0,2.38057e-06,1.00009e-06,0,1.48627e-07,6.34751e-08,0,1.00021,0.400082,1,0,0.0009,
19,-0.985,-0.415,0,3.07857e-06,1.22271e-06,0,1.89635e-07,7.6667e-08,0,1.0002,0.400082,1,0,0.0009,
20,-0.985,-0.385,0,3.90972e-06,1.4665e-06,0,2.37773e-07,9.09124e-08,0,1.0002,0.400082,1,0,0.0009,
21,-0.985,-0.355,0,4.88276e-06,1.72766e-06,0,2.93378e-07,1.05973e-07,0,1.0002,0.400081,1,0,0.0009,
22,-0.985,-0.325,0,6.00395e-06,2.00132e-06,0,3.5665e-07,1.21562e-07,0,1.0002,0.400081,1,0,0.0009,
